Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","15p","C_0603_1608Metric",49.985000,-41.687500,0.000000,bottom
"C2","15p","C_0603_1608Metric",49.985000,-35.687500,180.000000,bottom
"C3","10u","C_0805_2012Metric",36.885000,-36.687500,-90.000000,bottom
"C4","10u","C_0805_2012Metric",36.885000,-40.687500,-90.000000,bottom
"C5","100n","C_0402_1005Metric",75.635000,-40.707500,90.000000,bottom
"C6","100n","C_0402_1005Metric",64.135000,-40.437500,0.000000,bottom
"C7","100n","C_0402_1005Metric",53.135000,-37.187500,180.000000,bottom
"C8","1u","C_0402_1005Metric",64.135000,-36.437500,0.000000,bottom
"C9","100n","C_0402_1005Metric",61.615000,-43.437500,0.000000,bottom
"C10","1u","C_0402_1005Metric",64.135000,-35.437500,0.000000,bottom
"C11","100n","C_0402_1005Metric",64.135000,-39.437500,0.000000,bottom
"C12","100n","C_0402_1005Metric",53.135000,-38.187500,180.000000,bottom
"C13","100n","C_0402_1005Metric",61.615000,-33.937500,0.000000,bottom
"C14","100n","C_0402_1005Metric",64.115000,-34.437500,0.000000,bottom
"C15","100n","C_0402_1005Metric",57.385000,-33.437500,90.000000,bottom
"C16","100n","C_0402_1005Metric",57.500000,-43.937500,-90.000000,bottom
"C17","10u","C_0805_2012Metric",59.135000,-32.687500,90.000000,bottom
"C21","0.1u","C_0402_1005Metric",30.000000,-22.250000,180.000000,bottom
"C22","0.1u","C_0402_1005Metric",49.050000,-22.250000,180.000000,bottom
"C23","0.1u","C_0402_1005Metric",68.100000,-22.250000,180.000000,bottom
"C24","0.1u","C_0402_1005Metric",87.150000,-22.250000,180.000000,bottom
"C25","0.1u","C_0402_1005Metric",30.000000,-47.250000,180.000000,bottom
"C26","0.1u","C_0402_1005Metric",49.050000,-47.250000,180.000000,bottom
"C27","0.1u","C_0402_1005Metric",68.100000,-47.250000,180.000000,bottom
"C28","0.1u","C_0402_1005Metric",87.150000,-47.250000,180.000000,bottom
"C29","0.1u","C_0402_1005Metric",30.000000,-66.300000,180.000000,bottom
"C30","0.1u","C_0402_1005Metric",49.050000,-66.300000,180.000000,bottom
"C31","0.1u","C_0402_1005Metric",68.100000,-66.300000,180.000000,bottom
"C32","0.1u","C_0402_1005Metric",87.150000,-66.300000,180.000000,bottom
"C33","0.1u","C_0402_1005Metric",30.000000,-85.350000,180.000000,bottom
"C34","0.1u","C_0402_1005Metric",49.050000,-85.350000,180.000000,bottom
"C35","0.1u","C_0402_1005Metric",68.100000,-85.350000,180.000000,bottom
"C36","0.1u","C_0402_1005Metric",87.150000,-85.350000,180.000000,bottom
"C37","0.1u","C_0402_1005Metric",30.000000,-104.400000,180.000000,bottom
"C38","0.1u","C_0402_1005Metric",49.050000,-104.400000,180.000000,bottom
"C39","0.1u","C_0402_1005Metric",68.100000,-104.400000,180.000000,bottom
"C40","0.1u","C_0402_1005Metric",87.150000,-104.400000,180.000000,bottom
"D21","1N4148WS","D_SOD-323",24.000000,-34.000000,180.000000,bottom
"D22","1N4148WS","D_SOD-323",27.500000,-34.000000,0.000000,bottom
"D23","1N4148WS","D_SOD-323",83.150000,-36.250000,180.000000,bottom
"D24","1N4148WS","D_SOD-323",83.150000,-34.000000,180.000000,bottom
"D25","1N4148WS","D_SOD-323",24.000000,-59.000000,180.000000,bottom
"D26","1N4148WS","D_SOD-323",43.050000,-59.000000,180.000000,bottom
"D27","1N4148WS","D_SOD-323",62.100000,-59.000000,180.000000,bottom
"D28","1N4148WS","D_SOD-323",81.150000,-59.000000,180.000000,bottom
"D29","1N4148WS","D_SOD-323",24.000000,-78.050000,180.000000,bottom
"D30","1N4148WS","D_SOD-323",43.050000,-78.050000,180.000000,bottom
"D31","1N4148WS","D_SOD-323",62.100000,-78.050000,180.000000,bottom
"D32","1N4148WS","D_SOD-323",81.150000,-78.050000,180.000000,bottom
"D33","1N4148WS","D_SOD-323",24.000000,-97.100000,180.000000,bottom
"D34","1N4148WS","D_SOD-323",43.050000,-97.100000,180.000000,bottom
"D35","1N4148WS","D_SOD-323",62.100000,-97.100000,180.000000,bottom
"D36","1N4148WS","D_SOD-323",81.150000,-97.100000,180.000000,bottom
"D37","1N4148WS","D_SOD-323",24.000000,-116.150000,180.000000,bottom
"D38","1N4148WS","D_SOD-323",43.050000,-116.150000,180.000000,bottom
"D39","1N4148WS","D_SOD-323",62.100000,-116.150000,180.000000,bottom
"D40","1N4148WS","D_SOD-323",81.150000,-116.150000,180.000000,bottom
"J1","USB_B_Micro","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal",58.725000,-14.385000,0.000000,bottom
"R1","1k","R_0402_1005Metric",75.635000,-38.687500,-90.000000,bottom
"R2","DNF","R_0402_1005Metric",75.635000,-36.687500,-90.000000,bottom
"R3","1k","R_0402_1005Metric",53.125000,-39.187500,180.000000,bottom
"R4","27","R_0402_1005Metric",64.125000,-38.437500,180.000000,bottom
"R5","27","R_0402_1005Metric",64.125000,-37.437500,180.000000,bottom
"U1","AMS1117-3.3SOT223","SOT-223",42.385000,-38.687500,0.000000,bottom
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",70.385000,-39.187500,0.000000,bottom
"U3","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",58.500000,-38.750000,90.000000,bottom
"U4","74AHCT1G125","SOT-23-5",30.000000,-37.750000,180.000000,bottom
"Y1","ABM8-272-T3","Crystal_SMD_3225-4Pin_3.2x2.5mm",49.985000,-38.687500,90.000000,bottom
